genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_3539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE,MEG_3539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE,1209,1706143,1707351,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1214029,1215930,1902,MEG_2541|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2541|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,570,1223000,1223569,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1280378,1283521,3144,MEG_3395|Drugs|betalactams|Class_B_betalactamases|IMP,MEG_3395|Drugs|betalactams|Class_B_betalactamases|IMP,885,1288017,1288901,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1283533,1284756,1224,MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,309,1288913,1289221,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1284772,1285104,333,MEG_723|Metals|Aluminum_resistance|Aluminum_resistance_protein|ALU1P,MEG_723|Metals|Aluminum_resistance|Aluminum_resistance_protein|ALU1P,561,1289237,1289797,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1285262,1286635,1374,MEG_6513|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITA,MEG_6513|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITA,918,1289955,1290872,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1286792,1288888,2097,MEG_8638|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|POXT,MEG_8638|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|POXT,1635,1291029,1292663,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1348604,1350047,1444,MEG_8090|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSL,MEG_8090|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSL,411,1352379,1352789,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1351566,1351973,408,MEG_4196|Metals|Nickel_resistance|Nickel_resistance_protein|NIRB,MEG_4196|Metals|Nickel_resistance|Nickel_resistance_protein|NIRB,270,1354308,1354577,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1354587,1354798,212,MEG_11439|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,MEG_11439|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,3123,1357191,1360313,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1380953,1382146,1194,MEG_6645|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTA,MEG_6645|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTA,1149,1386468,1387616,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1382169,1385318,3150,MEG_7036|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETA60,MEG_7036|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETA60,1740,1387639,1389378,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1394201,1395918,1718,MEG_11452|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_11452|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1698,1398261,1399958,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1481490,1482647,1158,MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,555,1485530,1486084,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1495702,1496811,1110,MEG_2744|Drugs|MLS|Macrolide_esterases|EREA,MEG_2744|Drugs|MLS|Macrolide_esterases|EREA,1221,1499139,1500359,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1644995,1645429,435,MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,277,1648543,1648819,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1645647,1647724,2078,MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,2280,1649037,1651316,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1647779,1648708,930,MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,1314,1651371,1652684,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1648713,1649093,381,MEG_4299|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM,MEG_4299|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM,889,1652689,1653577,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1649133,1650023,891,MEG_6542|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,MEG_6542|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,621,1653617,1654237,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1650029,1651846,1818,MEG_7838|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_SMR_efflux_pump|YKKC,MEG_7838|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_SMR_efflux_pump|YKKC,339,1654243,1654581,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1653828,1656304,2477,MEG_11242|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_11242|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,423,1656563,1656985,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1656933,1660075,3143,MEG_5957|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5957|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,681,1657614,1658294,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1660086,1661378,1293,MEG_4089|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA,MEG_4089|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA,3075,1658305,1661379,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1661492,1661845,354,MEG_1754|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,MEG_1754|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,1260,1661493,1662752,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1661874,1663259,1386,MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ,MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ,1305,1662781,1664085,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1663449,1665597,2149,MEG_1584|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,MEG_1584|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,660,1664275,1664934,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1665848,1666279,432,MEG_1146|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,MEG_1146|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1041,1665185,1666225,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1701952,1702662,711,MEG_4059|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MREA,MEG_4059|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MREA,288,1701898,1702185,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1779088,1780638,1551,MEG_1555|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,MEG_1555|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,630,1778611,1779240,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1832407,1833351,945,MEG_2010|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRC,MEG_2010|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRC,1257,1831009,1832265,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1859219,1861573,2355,MEG_9982|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMB,MEG_9982|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMB,468,1858133,1858600,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1864722,1865099,378,MEG_6016|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRE,MEG_6016|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRE,645,1861749,1862393,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1901784,1902950,1167,MEG_2756|Drugs|MLS|23S_rRNA_methyltransferases|ERM,MEG_2756|Drugs|MLS|23S_rRNA_methyltransferases|ERM,801,1899078,1899878,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1926778,1927647,870,MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,819,1923706,1924524,+
Escherichia_coli_B3008,Escherichia_coli_B3008,1996446,1997654,1209,MEG_7384|Drugs|Glycopeptides|VanD-type_resistance_protein|VAND,MEG_7384|Drugs|Glycopeptides|VanD-type_resistance_protein|VAND,1032,1993323,1994354,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2039099,2041795,2697,MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER,MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER,633,2035799,2036431,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2136984,2138117,1134,MEG_2039|Metals|Copper_resistance|Copper_resistance_protein|COPB,MEG_2039|Metals|Copper_resistance|Copper_resistance_protein|COPB,987,2131620,2132606,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2138736,2139202,467,MEG_5995|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5995|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,681,2133225,2133905,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2150570,2150908,339,MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,465,2145273,2145737,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2217730,2219373,1644,MEG_1702|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CHR,MEG_1702|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CHR,609,2212559,2213167,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2248704,2253249,4546,MEG_3069|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSD,MEG_3069|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSD,642,2242498,2243139,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2267800,2269449,1650,MEG_4314|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,MEG_4314|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,1968,2257690,2259657,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2274770,2275234,465,MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,359,2264978,2265336,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2275320,2275643,324,MEG_2880|Drugs|Elfamycins|Elfamycin_efflux_pumps|FACT,MEG_2880|Drugs|Elfamycins|Elfamycin_efflux_pumps|FACT,1680,2265422,2267101,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2292758,2293273,516,MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,615,2284216,2284830,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2329147,2329971,825,MEG_2062|Metals|Copper_resistance|Copper_resistance_protein|COPL,MEG_2062|Metals|Copper_resistance|Copper_resistance_protein|COPL,420,2320704,2321123,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2347480,2349602,2123,MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR,MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR,1251,2338632,2339882,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2349887,2350178,292,MEG_3514|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNE,MEG_3514|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNE,363,2340167,2340529,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2436061,2436906,846,MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,552,2426412,2426963,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2446780,2447682,903,MEG_1466|Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD,MEG_1466|Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD,459,2436837,2437295,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2448481,2450549,2069,MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,1539,2438094,2439632,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2452721,2453341,621,MEG_10008|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,MEG_10008|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,4029,2441804,2445832,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2506834,2507460,627,MEG_7081|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,MEG_7081|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,1128,2499325,2500452,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2548015,2548965,951,MEG_2051|Metals|Copper_resistance|Copper_resistance_protein|COPD,MEG_2051|Metals|Copper_resistance|Copper_resistance_protein|COPD,930,2541007,2541936,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2637309,2638349,1041,MEG_2678|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,MEG_2678|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,627,2630280,2630906,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2638435,2640284,1850,MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,792,2630992,2631783,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2640467,2641240,774,MEG_8718|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,MEG_8718|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,1167,2631966,2633132,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2653622,2654188,567,MEG_7867|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,MEG_7867|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,576,2645514,2646089,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2681419,2681832,414,MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,1167,2673320,2674486,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2681938,2682372,435,MEG_3291|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,MEG_3291|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,864,2674592,2675455,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2691325,2692515,1191,MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,918,2684408,2685325,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2892140,2893540,1401,MEG_3704|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3704|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,2884950,2886575,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2893910,2894734,825,MEG_2888|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPA,MEG_2888|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPA,999,2886945,2887943,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2895102,2895830,729,MEG_5975|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5975|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,681,2888311,2888991,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2896193,2899306,3114,MEG_4383|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|OTRC,MEG_4383|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|OTRC,1056,2889354,2890409,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2899331,2900488,1158,MEG_11325|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,MEG_11325|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1059,2890434,2891492,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2900827,2901354,528,MEG_8236|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8236|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,2891831,2893456,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2902980,2903312,333,MEG_7530|Drugs|Glycopeptides|VanE-type_resistance_protein|VANTE,MEG_7530|Drugs|Glycopeptides|VanE-type_resistance_protein|VANTE,2109,2895082,2897190,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2903416,2903754,339,MEG_3440|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|IRLS,MEG_3440|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|IRLS,1395,2897294,2898688,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2907859,2908284,426,MEG_2178|Drugs|betalactams|Class_A_betalactamases|CTX,MEG_2178|Drugs|betalactams|Class_A_betalactamases|CTX,876,2902793,2903668,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2908297,2909586,1290,MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,393,2903681,2904073,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2909640,2909993,354,MEG_11243|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_11243|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,423,2904127,2904549,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2919382,2920881,1500,MEG_7951|Drugs|betalactams|Class_C_betalactamases|ADC,MEG_7951|Drugs|betalactams|Class_C_betalactamases|ADC,1152,2913938,2915089,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2939505,2939936,432,MEG_4190|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_4190|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,457,2933713,2934169,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2939942,2944857,4916,MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS,MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS,1434,2934175,2935608,+
Escherichia_coli_B3008,Escherichia_coli_B3008,2949875,2952073,2199,MEG_11326|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,MEG_11326|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1056,2940626,2941681,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3073242,3073874,633,MEG_2714|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA,MEG_2714|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA,1182,3062850,3064031,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3120864,3121289,426,MEG_3140|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,MEG_3140|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,846,3111021,3111866,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3141864,3144968,3105,MEG_11324|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,MEG_11324|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1080,3132441,3133520,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3144980,3146137,1158,MEG_2514|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2514|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,474,3133532,3134005,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3146536,3147198,663,MEG_2534|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2534|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,474,3134404,3134877,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3174955,3175269,315,MEG_2755|Drugs|MLS|23S_rRNA_methyltransferases|ERM,MEG_2755|Drugs|MLS|23S_rRNA_methyltransferases|ERM,969,3162634,3163602,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3344477,3345241,765,MEG_6605|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,MEG_6605|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,840,3332810,3333649,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3356836,3357657,822,MEG_816|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,MEG_816|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,846,3345244,3346089,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3376306,3377103,798,MEG_4193|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_4193|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,457,3364738,3365194,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3381379,3381520,142,MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,816,3369470,3370285,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3389950,3390342,393,MEG_3873|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,MEG_3873|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,276,3378715,3378990,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3423256,3424748,1493,MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,393,3411904,3412296,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3457169,3458893,1725,MEG_3876|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,MEG_3876|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,342,3444717,3445058,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3538980,3539690,711,MEG_3996|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MMR,MEG_3996|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MMR,324,3525145,3525468,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3720578,3721606,1029,MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,738,3706356,3707093,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3774190,3775728,1539,MEG_2351|Drugs|betalactams|Class_A_betalactamases|CTX,MEG_2351|Drugs|betalactams|Class_A_betalactamases|CTX,876,3759677,3760552,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3775745,3776917,1173,MEG_6961|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,MEG_6961|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,585,3760569,3761153,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3777044,3777574,531,MEG_11365|Metals|Arsenic_resistance|Arsenic_resistance_N-acetyltransferases|ARSN2,MEG_11365|Metals|Arsenic_resistance|Arsenic_resistance_N-acetyltransferases|ARSN2,429,3761280,3761708,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3827235,3827918,684,MEG_5945|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5945|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,645,3811369,3812013,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3965156,3965632,477,MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,552,3949251,3949802,+
Escherichia_coli_B3008,Escherichia_coli_B3008,3986310,3989423,3114,MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,2133,3970480,3972612,+
Escherichia_coli_B3008,Escherichia_coli_B3008,4031212,4032516,1305,MEG_1669|Drugs|betalactams|Class_B_betalactamases|CFIA,MEG_1669|Drugs|betalactams|Class_B_betalactamases|CFIA,750,4014401,4015150,+
Escherichia_coli_B3008,Escherichia_coli_B3008,4062656,4063894,1239,MEG_2715|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHA,MEG_2715|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHA,1158,4045290,4046447,+
Escherichia_coli_B3008,Escherichia_coli_B3008,4087393,4090986,3594,MEG_3452|Metals|Tellurium_resistance|Tellurium_resistance_protein|KLAB,MEG_3452|Metals|Tellurium_resistance|Tellurium_resistance_protein|KLAB,1137,4069946,4071082,+
Escherichia_coli_B3008,Escherichia_coli_B3008,4090991,4091605,615,MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH,MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH,1113,4071087,4072199,+
Escherichia_coli_B3008,Escherichia_coli_B3008,4092021,4094722,2702,MEG_3867|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,MEG_3867|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,237,4072615,4072851,+
